PLAYER_NAME,YEAR,SOURCE,BB_DATE,BB_RANK,DRAFT_RANK,APPROV_VAL,BB_TEXT,,,,,
Brandom Ingram,2016,SI,6/20/16,1,,,"It sounds like the Sixers are almost-definitely going to draft Ben Simmons first. You can justify both players there, but I_m sticking with Ingram as the top overall prospect. He is not as physically prepared for the NBA, but Ingram_s combination of scoring instincts and shooting ability offer him a clear pathway to NBA success and lessen the risk involved in his development. In a draft where there are few _wow_ prospects, Ingram offers the best combination of low risk and high reward.",,,,,
Ben Simmons,2016,SI,6/20/16,2,,,"Simmons is one of the more unique talents to come along in decades, and all signs point to him being selected No. 1. He is not a scorer by trade, nor a highly instinctive or diversified one, but his innate passing ability at his size makes him special. Drafting him means committing to putting shooters around him and enabling him to do what he does best as a ballhandler. Building that roster also means investing time and assets, and enabling is a key word here for a kid whose approach to the game and handling of adversity has come into question. But if it all comes together right, he could be a spectacular player indeed.",,,,,
Dragan Bender,2016,SI,6/20/16,3,,,"I loved the Toni Kukoc comparison that Luke Winn posed in SI_s recent feature on Bender. Bender_s not unlike Simmons in that sense as an oversized passer, although he doesn_t facilitate offense on the ball in the same fashion. With his playmaking, shooting potential and unselfishness at 7' 0"", Bender has the talent to become a weird but fashionable offensive cog for a good team. As he grows into his body, his place on the floor defensively should become clearer. He_s the youngest player in the draft, too.",,,,,
Jamal Murray,2016,SI,6/20/16,4,,,"In a different draft class, Murray might go in the 10_15 range. He_s not the most athletic guard in the class, but he gets buckets and scouts love his confidence. His college production, shooting ability and the fact he won_t turn 20 until February give him plenty of value for teams seeking a long-term upside play. His craftiness and ability as a secondary playmaker should let him play a bit of both guard spots. He may slip a little on draft night given teams_ guard depth from picks 3_5, but not too much further.",,,,,
Kris Dunn,2016,SI,6/20/16,5,,,"Rumors are heavily linking Dunn to the Timberwolves, and that makes a lot of sense, despite the presence of Ricky Rubio. He_s a Tom Thibodeau type. Dunn should be a plus defender who can run the offense and get to the rim. He_s a great athlete and is one of the most NBA-ready players in the draft. What exactly is Dunn_s ceiling will probably be tied to the development of his three-point shot. He_s the best point guard available, regardless.",,,,,
Henry Ellenson,2016,SI,6/20/16,6,,,"Ellenson has a very wide range of lottery outcomes, probably more than most in what_s already shaping up as an unpredictable first round. There_s no denying his talent offensively, distinguished by his mix of low-post scoring, jump shooting and ballhandling skills. The knock here is he_s not an explosive athlete nor a strong lateral defender, but if you_re playing him at center it could mitigate some of those concerns. True stretch five-men are hard to find.",,,,,
Buddy Hield,2016,SI,6/20/16,7,,,"Hield apparently made 85 out of 100 threes in a recent Celtics workout and also told reporters he thinks he_s going to the Lakers. Neither of those two things matter much_we already knew he could shoot, and a leap into the top two would be stunning. Regardless, the elite three-point stroke and an otherwise regular skill-set gives the J.J. Redick comps credence. Though he_s 22 already, the development he showed over four college seasons actually plays in his favor with some scouts. Hield should be able to help you right away._ WhyÿHieldÿis the NBA draft_s best shooter",,,,,
Marquese Chriss,2016,SI,6/20/16,8,,,"Some mocks have Chriss going in the top five based on his potential alone. That_s justifiable, but around here feels like more of his range. He_s got almost every tool you can ask for, but also hadn_t played much high-level basketball before coming on late at Washington. He almost definitely doesn_t know how good he can be. We_ve seen guys with similar profiles and better pedigrees float in and out of the league. As a stretchy, bouncy, scoring four-man, Chriss will be a sexy pick, but he_ll have a greater learning curve than most.",,,,,
Jakob Poeltl,2016,SI,6/20/16,9,,,"Poeltl_s a throwback big, andÿit_s almost working against him in the court of public opinion. Also working against him is the fact that not many teams in the top 10 reallyÿneedÿa center. But look, he_s massive and has a well-developed post game, and there will be a place for those types of guys even as the league begins to skew small. He got noticeably better from freshman to sophomore year of college. Big men always take time. He_sÿa fairly safe pick in my book.",,,,,
Jaylen Brown,2016,SI,6/20/16,10,,,"Something here just doesn_t quiteÿmove the needle like it should. Brown has every athletic tool in the book, but had a well-publicized rough go at Cal and probably lacks the basketball acumenÿto contribute early on. Big potential means he could conceivably go in the top five, but the opportunity cost could be high. He_s a smart kid, but can also overthink the game. One scout put it like this: _At least Gerald Green came in with a wet jump shot._",,,,,
